	yes
america	-2.341359735490702
american	-2.3824840770431273
americans	-0.9930068591857122
among	-1.5801457757093256
amount	-0.856135912591416
an	-1.5677570973239632
an_amendment	1.6135908374476984
an_amendment_in	-0.23403663592687568
an_excerpt_from	0.13095422520170424
an_explanation	2.8679618787964705
an_explanation_of	0.3066393676447469
ancient	-0.664073973076626
and	-2.7126877241452796
and_2	0.06965105939718617
and_a	-1.017090831252827
and_a_half	0.3577148551192455
and_all_amendments	1.3986740711836847
and_ask_unanimous	-0.25263459299213725
and_extend	0.05215979352900921
and_extend_their	0.20670102872741572
and_have_included	0.13548303120507676
and_having	-0.33931723982895823
and_his	-0.5036792653093076
and_i	-1.9055398890102206
and_i_ask	0.5258170138055717
and_i_reserve	0.6711355832566124
and_i_rise	0.7832113285735633
and_i_urge	-1.6001120853073598
and_i_will	-0.038657293528850195
and_i_yield	0.5825279583341374
and_if_so	0.03522380334304274
and_in	-0.48205897331958636
and_include	0.4051091920817386
and_include_extraneous	0.35977943932557244
and_insular	-0.20932673373681282
and_is	-0.18133926996892333
and_it	-1.8628148170991485
and_its_transfer	0.07182642359542092
and_lead_the	0.8407310133300516
and_lie	0.22990734468095445
and_lie_on	0.7294227178589023
and_memorials	0.28678430556423823
and_mr	-3.8452271766353534
and_nays	0.9961743239768018
and_nays_on	-0.5063402875393243
and_nothing_else	1.8389479274523632
and_of	-1.337926037943187
and_on	-2.1158394739250443
and_open_to	0.9783298641960302
and_other_senators	2.3639581431197634
and_others	1.6373803958231747
and_others_objected	0.4730938332517781
and_pass_the	1.9210049956999302
and_passed	1.0279059182439647
and_passed_and	-1.8966540788289263
and_passed_as	-2.618101683722668
and_printed	0.5079772551140016
and_quarterly	0.025416501563928207
and_quarterly_reports	0.7033417067022879
and_report_the	0.04626638806530365
and_so	-0.09595659717180208
and_that	-1.5874168226883754
and_that_is	-1.4748789548959373
and_the	-2.10001308132652
and_the_distinct	0.43891261020722216
and_the_other	2.887381427069154
and_the_secretary	0.22609506228394516
and_then	-1.4609215495960377
and_then_i	-1.9006040368073414
and_there	-0.674831130913189
and_third	-0.21332329221765428
and_third_reading	-0.22400874905857027
and_to	-0.6409702229053754
and_to_be	-0.11963019328204431
and_to_include	7.253117741159241
and_took	0.48759533963203694
and_took_the	0.059154240934841416
and_urge	-1.2792862592272407
and_was	1.0455284774116846
and_was_read	4.175351145317674
and_what	-0.6885705869729192
and_will	-1.6614002394686065
and_without	-0.9230018358277008
and_without_objection	-2.923021550853161
andersen	-1.4368335482346242
anderson	-1.9150198996910537
andrews	-0.18231608488047216
angeles	-0.31969984562675935
anniversary	-1.7945437987016393
anniversary_of	-0.018799297305574607
announce	-0.14202944663213288
announce_that	0.0950133818583755
announce_that_pursuant	-0.6415598877122495
announce_that_the	0.5196750856975617
announced_as	5.4537544977267585
announced_policy	0.8520091712926912
announced_policy_of	0.3643749121274839
announcement	2.756993774942186
announces	2.7594408794953287
annual	-0.4320248870313347
another	-0.9500220793164934
another_amendment	0.27826280195060155
answer	-0.18512546440690322
answer_is	0.009052392910356808
answer_on	0.13049862431652168
answer_on_the	0.8827468849194737
answer_that	1.522008067221114
answer_to	-0.31547179556095695
answered_to	2.885851580793893
answered_to_their	0.678348391119005
any	-1.2899689526641724
any_difference	1.0989995866021423
any_means	1.691986763886199
any_other	0.2579640528859752
any_time_for	-0.31869489823023345
anybody	-0.4196582462527047
anyone	-1.0826561818208502
anything	-1.2735073647263435
appeal_from	1.9822064694574661
appeals	-0.4528709113074174
appeared_at	0.25906888685148954
appeared_at_the	1.950709598060965
application	-0.2529800372270387
appointed_managers	0.14009367935135805
appointed_managers_on	0.6987304690239924
appointment	-0.4455480082993535
appreciate	-0.3444527183409236
appreciate_that	1.1158134197151162
appreciate_the	-0.01997492472261135
approach	-1.1174078118310722
appropriate	-1.7327670536952788
appropriated	-1.9896665718043112
appropriately_referred_and	-1.607687810215755
appropriation	-0.113689424697098
appropriations	-1.4315868079139413
approved	0.006535311852493023
approximately	-1.516592982749103
april	-0.6946638838005937
are	-0.8243318929610081
are_absent	-1.404935875529761
are_as_follows	-0.08973813659886389
are_in	0.46537851198983016
are_in_order	2.1676659928477617
are_mistaken	0.03736606841322297
are_necessarily	0.6379553589102465
are_necessarily_absent	0.47342863331672835
are_not	-1.1931155798070077
are_ready_to	0.32646923095618335
are_reminded	0.4136622425852306
are_reminded_to	1.0036477027474555
are_the	-0.768005053787854
are_the_facts	1.0619350158364909
are_there	3.8564986952266422
are_there_any	2.520151796322896
are_they_located	1.809774041523819
are_we	0.4222491997114126
are_you	3.653071717375586
are_you_now	0.5545863451671471
area	-0.8120921050858139
areas	-0.9020904354555022
argument	-1.7282476583069444
arizona	-0.1816214818680536
arkansas	-0.6310765715397951
armed	-0.5494346901806295
arms_will	2.5847696210958953
army	-1.7438829564972667
around	-0.8256551804509054
art	-1.1480765451178843
article	-1.790278092959229
article_by	-0.07151391380185049
article_is_as	1.3815685699181288
articles	-0.5908400565836124
as	-1.6759879567218157
as_a	-0.19957746603335577
as_a_cosponsor	0.7010405210085022
as_follows	-0.9327415209110421
as_follows_bridges	0.3344946366646587
as_follows_the	-2.030772199053731
as_he	0.19170711040788627
as_i	-0.9275721343380474
as_i_know	1.9572365092165993
as_in	0.2623449755268121
as_it	-0.644272421177279
as_much	-0.3527793453518543
as_read	0.26464024915310447
as_soon	-0.12103110550531582
as_the	-1.4491675743176284
as_the_senator	-1.3381939378284644
as_to	-0.414110411094383
as_to_that	1.5505762280912776
as_well_as	-1.201399708788706
aside	-1.2474525410600499
aside_in	-0.010917379691423876
ask	-0.06668053441128022
ask_a	0.1693738466993305
ask_a_question	0.2537377844378135
ask_for	0.7604728276220152
ask_for_a	0.06224263312675135
ask_for_its	3.5138708939928684
ask_for_the	-0.1201446405588199
ask_how	-2.3562838547302283
ask_my	-0.0751452258251799
ask_that_the	0.1175537765258038
ask_the	-1.4090638881543898
ask_the_gentleman	0.052194237459886286
ask_the_senator	-0.15200844996582147
ask_unanimous	0.6811894722775131
ask_unanimous_consent	0.3447416695898681
asked_the	-0.18718016716351643
asking	-0.3704371835554604
asking_for_information	1.6135543871023343
asks	-2.643136168006854
asks_unanimous	-0.2808378805042362
assistance	-0.2286159648971718
assistant	-0.93070838078834
association	-2.3232705368161914
assure	-0.42396407519524737
at	-1.7984329621421276
at_arms_will	2.174453516955111
at_geneva	0.07085897712737274
at_interest	0.28176386806492326
at_interest_with	1.0570889573684754
at_large_upon	1.2154467503295177
at_least	-0.2581018174547148
at_length	-0.10469768215797272
at_length_the	-0.06006914684751594
at_the	-0.5701328741884426
at_the_bar	0.18686572725297487
at_the_conference	3.235824113195709
at_the_desk	2.0267567175716055
at_the_present	0.13779753885392618
at_the_rostrum	0.7455450725996288
at_the_time	-0.1833183160412692
at_this	0.29964288755738555
at_this_time	0.32254546348851487
attacks	-0.7034636597183784
attacks_and	-0.33946787769092485
attempt	-0.736224772882519
attempted	-0.0740170888913676
attendance	0.24659351049174427
attendance_upon	0.5507685722670389
attending	-0.6947953840714592
attention	-2.6498666493081204
authority	-1.2507102209916676
authorization	-1.0770947751567344
authorize	-1.3039004360055222
authorizing	-0.8024958198672196
automatically_resolves	0.00832849458772665
automatically_resolves_itself	0.011929610540764616
available	-1.7450823194648135
average	-2.3449678283465705
avoid	-0.3110881730977014
award	-0.9873582274234698
aware_of_that	2.8522964727301527
away	-1.2416586602791553
b	-4.958445003884692
back	-0.20831882335673585
back_the	-0.044897766332743345
back_to	-0.00881204899059674
baker	-1.7217138127844647
balance	-0.13384729459970876
balance_of	0.36306615760268635
balance_of_my	0.7002544387598764
ballot_was	0.10502097940420727
ballot_was_sent	0.28884624214172233
bank	-2.201234739607038
banking	-0.3381418446502091
banks_for	1.2380692542133886
banks_for_depositing	0.5710165730045718
bar_of	0.1423885128834466
barbara	-2.86010042250392
barrels	-0.17593020315049238
bartlett	-1.3806801864544802
barton	-2.3412136452790016
base	-0.7376567028230828
based	-1.0676583715687855
basis	-2.0046983796907125
be	-0.49810085042917657
be_a	-0.006227671117482028
be_acted	-0.09807731706732258
be_again	0.5120781458529452
be_agreed_to	0.6712435707983445
be_brought_back	2.0565874524305636
be_confirmed_en	0.7587655457904524
be_considered	0.4730778369116953
be_considered_as	0.8727640960918468
be_dispensed	1.4049750972218327
be_done	2.458748195905278
be_entertained	0.422405432055025
be_equally	0.08124670443848478
be_equally_divided	0.7694194616535647
be_fine	0.7945310928363521
be_glad_to	-0.007176521799927143
be_happy_to	0.5414836542797884
be_heard	0.38229334363816264
be_immediately	0.5520461666004371
be_in	0.037912841225288735
be_in_order	1.722770982193911
be_made	0.01096791765244866
be_no	0.3008596115069794
be_order	0.5062027760734087
be_passed	0.43514695443982804
be_passed_over	2.6122683400419615
be_placed_on	1.4602608075197117
be_pleased	0.6038722595247306
be_pleased_to	0.7009303476477204
be_postponed	0.06702059392219094
be_printed	-0.6083648122207678
be_printed_in	-0.820767181282186
be_read	2.304142108800062
be_read_for	0.3824970228125962
be_read_the	-3.1144841721916556
be_received	0.18286706300108768
be_recognized	-0.4377785843184882
be_referred	0.6102261152358353
be_referred_to	0.08487916787344765
be_reported	1.8823739180971304
be_reported_to	1.6227316875761175
be_spread	0.008948997564324412
be_spread_at	0.11850365638091342
be_stated	3.003047065842082
be_the	-0.30515751991313156
be_the_conferees	0.46943011795625017
be_the_usual	0.003982767872605039
be_true	1.8106900713676137
be_very	-0.338902851647335
be_voted_down	0.07846939875855768
became	-0.521362263326771
because	-2.7992485473255746
because_i	-0.03282532557590247
because_it	-0.9807476887901047
becker	-0.06693244806898722
become	-0.3824976541282035
been	-0.15856379578489158
been_a_member	0.8043678876204832
been_adopted	0.004857675290337505
been_agreed_to	1.4892586571086803
been_cleared	0.697659153503321
been_demanded	0.0031233583353570547
been_done	1.554224786286443
been_entered	0.2294583103324645
been_ordered	0.13932131071815523
been_printed	0.8067410397538357
been_read	1.4381996834776658
been_read_at	-2.8745104678956928
before	-2.1469415445694637
before_the	-0.1402045911621049
before_the_house	1.9215866644376784
before_the_senate	1.4081109190751437
beg_your_pardon	0.07910490527072647
began	-0.3544178492358008
begin	-0.3912423518810167
behalf_of	-0.05568774978408077
behalf_of_the	0.13598718015768274
being	-2.067934403511053
being_no	-1.128578140726889
being_no_objection	-1.2727340695086173
being_read	-1.0151041151682902
belgium	-2.5668310518885016
believe	-0.7967140268988334
believe_so	0.1672477824258884
believe_the	-0.5939081515297793
bell	-0.5464767384748334
below	-0.8910636070097298
beneath	-0.4827354031186605
benefit	-1.007057490370547
benefits	-1.7511141059689732
benjamin	-1.7810941067756672
bennett	-0.08782911705213214
bereuter	-1.1169832194654026
best	-0.33357517027809297
between	-2.4137117626748847
between_the	-0.7519206898365841
beyond	-1.483123700950816
biaggi	-2.321552798156477
biden	-0.8916995802157458
bill	-0.419649823448211
bill_and	-0.2789768777840665
bill_and_i	0.1220528624059962
bill_be	0.07709121028627394
bill_be_considered	1.0105876204887327
bill_be_printed	1.407653867382695
bill_go	0.4304397341841803
bill_has	-0.39461483600106895
bill_has_the	-2.252693886873826
bill_hr	0.49226457222811815
bill_i	-3.866902699277233
bill_i_r	-3.8303764758168586
bill_if	-0.38055976227428845
bill_in	-0.800344104771685
bill_is_before	0.24222320399644703
bill_it	-0.30732728576806867
bill_may_be	0.22533920673099492
bill_mr	-1.8522575419448766
bill_mr_president	-0.792623768206946
bill_on_the	1.067351379309073
bill_read	0.7627284757563475
bill_read_as	0.262531607860955
bill_shall	-0.7472071001791115
bill_that	-2.973451822992878
bill_the	-1.088838844264864
bill_the_bill	0.6058653403380805
bill_there	-0.41651756373469656
bill_to	-1.2138814588817497
bill_was	-0.5020416044499962
bill_was_passed	0.5198788445748745
bill_will	0.24806132622689173
bill_will_be	0.9800774413139804
billion	-1.3453731447891537
bills	-0.25807421715816314
bipartisan	-1.1132218780960923
black	-0.823481123296941
blanton	-0.09605269981711856
bloc_the	-1.3496892178504623
blumenauer	-0.829391192655596
board	-1.671469292075849
bob	-0.5707774451414955
body	-0.7970027122501955
boland	-0.2541081554360952
bond	-1.137196794555254
bonner	-0.6720248989516573
boston	-0.3408289177246663
both	-1.4307721179048438
branch	-0.4029260569508195
breaks	-0.200601755529692
brian	-1.630644066820337
bridges_flanders	0.32195895993179385
